"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"C10-1-09"	34047	27283	27241	27258	26974	24395
"C10-2-05"	37718	29430	29383	29399	29171	27861
"C10-3-01"	59514	45794	45765	45753	45223	42884
"C10-3-09"	23547	17078	17062	17053	16741	13041
"C10-4-05"	16637	12826	12805	12816	12567	9819
"C10-5-01"	32933	26376	26353	26351	26007	23884
"C10-5-09"	46493	34604	34541	34539	33609	24986
"C10-6-05"	45729	34863	34843	34820	34391	28984
"C10-7-01"	23237	17574	17554	17552	17190	13140
"C10-7-09"	24886	19132	19080	19078	18401	13765
"C10-8-05"	38677	28557	28511	28507	27799	20294
"C10-1-10"	20039	15911	15888	15897	15740	14409
"C10-2-06"	28050	22558	22522	22537	22369	20770
"C10-3-02"	49835	42254	42223	42209	41906	39888
"C10-3-10"	36921	30753	30691	30701	30125	23771
"C10-4-06"	27676	21842	21826	21810	21550	19589
"C10-5-02"	20593	16392	16387	16381	16254	15157
"C10-5-10"	22727	18255	18230	18234	17883	13921
"C10-6-06"	41045	34435	34363	34351	33627	26773
"C10-7-02"	39240	33262	33213	33210	32675	25462
"C10-7-10"	15982	12358	12332	12335	12048	9412
"C10-8-06"	27784	21631	21619	21615	21444	18498
"C10-1-03"	41955	34378	34339	34342	34055	31168
"C10-1-11"	27053	22098	22068	22085	21915	21090
"C10-2-07"	39808	31813	31769	31791	31334	27214
"C10-3-03"	42231	34186	34148	34153	33862	31320
"C10-3-11"	30125	22528	22488	22500	22126	17881
"C10-4-07"	27089	21895	21869	21869	21610	18356
"C10-5-03"	32377	26489	26475	26465	26195	23745
"C10-5-11"	39265	31273	31241	31233	30848	26326
"C10-6-07"	36190	29134	29101	29088	28635	23591
"C10-7-03"	37099	28688	28667	28676	28349	24195
"C10-7-11"	32742	26115	26092	26097	25859	22214
"C10-8-07"	33537	26553	26508	26500	25904	20555
"C10-1-04"	47617	39475	39417	39451	39084	35566
"C10-1-12"	47258	37984	37930	37959	37601	34392
"C10-2-08"	25518	20532	20510	20518	20343	18641
"C10-3-04"	24528	16813	16801	16795	16638	14733
"C10-3-12"	63792	53843	53780	53782	53223	45221
"C10-4-08"	33686	27322	27290	27293	26928	22300
"C10-5-04"	46673	36877	36858	36851	36654	33879
"C10-5-12"	28005	22778	22762	22758	22527	19805
"C10-6-08"	21476	16137	16128	16121	15992	14503
"C10-7-04"	20999	16988	16980	16984	16907	15512
"C10-7-12"	43391	33684	33627	33640	33106	27269
"C10-8-08"	23653	18903	18878	18870	18546	15527
"C10-1-05"	42499	33841	33797	33818	33521	30447
"C10-2-01"	35301	28523	28481	28489	28255	27438
"C10-2-09"	57365	44493	44420	44456	43900	38708
"C10-3-05"	29708	22463	22429	22431	21955	18243
"C10-4-01"	27083	20708	20696	20690	20445	19613
"C10-4-09"	30771	24237	24198	24207	23711	18429
"C10-5-05"	23641	18449	18429	18424	18033	15142
"C10-6-01"	59947	46514	46481	46471	45879	41063
"C10-6-09"	41124	31568	31515	31510	30852	24553
"C10-7-05"	22055	16908	16888	16882	16491	12262
"C10-8-01"	27122	21245	21210	21225	20862	16387
"C10-8-09"	48693	37324	37249	37254	36406	29429
"C10-1-06"	20688	16747	16717	16736	16578	14897
"C10-2-02"	35163	28108	28058	28077	27846	26393
"C10-2-10"	55407	47077	46984	47028	46306	40675
"C10-3-06"	26745	21957	21926	21936	21478	18654
"C10-4-02"	60702	51796	51749	51748	51330	48312
"C10-4-10"	82847	65753	65667	65665	64738	54997
"C10-5-06"	24048	18767	18742	18745	18386	16084
"C10-6-02"	54880	46382	46352	46346	45997	42316
"C10-6-10"	26080	21729	21702	21713	21484	18605
"C10-7-06"	65617	55318	55226	55237	54547	46036
"C10-8-02"	26702	20562	20543	20543	20359	16966
"C10-8-10"	42394	35566	35488	35492	34731	28509
"C10-1-07"	38154	31071	31019	31046	30679	27757
"C10-2-03"	36119	30052	30012	30033	29847	28376
"C10-2-11"	31235	25343	25306	25324	24966	21458
"C10-3-07"	33166	26249	26213	26209	25700	19718
"C10-4-03"	36534	28179	28156	28155	27886	25495
"C10-4-11"	33746	27399	27368	27362	26978	22790
"C10-5-07"	27736	22381	22359	22351	22004	17839
"C10-6-03"	34792	27708	27691	27688	27394	23422
"C10-6-11"	34601	27775	27759	27755	27549	24871
"C10-7-07"	30867	23470	23432	23426	22851	17586
"C10-8-03"	31975	25698	25674	25675	25345	21192
"C10-8-11"	32293	25179	25171	25164	24986	21524
"C10-1-08"	34999	28388	28349	28365	28122	26388
"C10-2-04"	45120	36883	36838	36862	36631	35283
"C10-2-12"	42706	34321	34270	34285	33770	29088
"C10-3-08"	44758	34889	34854	34854	34381	28873
"C10-4-04"	16399	13103	13095	13087	12938	11458
"C10-4-12"	33896	26980	26961	26956	26697	23258
"C10-5-08"	35788	28164	28127	28128	27689	22846
"C10-6-04"	46214	36857	36841	36850	36659	32947
"C10-6-12"	41431	33111	33085	33073	32800	29351
"C10-7-08"	67476	57591	57461	57452	55887	43845
"C10-8-04"	50916	40000	39982	39978	39853	36970
