assembly	TF_perc
2740891980	214.4
2740891986	214.87
2740891981	177.82
2528311132-cluster	286.3
646311906	210.14
2504136002	233.29
2634166507	262.02
2728369302	196.87
2728369305	195.85
2681812914	316.81
2728369538	352.28
2528311097	314.22
2684622629	379.51
2630968753	333.04
2511231068-cluster	284.74
2558309064	280.16
2684622664	302.23
2690315681	281.64
2508501017	312.4
2651869823	277.59
2693429892	282.43
644736372	244.85
2667527389	290.64
2562617191	295.17
644736373	296.99
2654588107	321.27
2651870125	282.34
2740891998	293.62
2639763150	328.95
2648501819	268.19
2675903501	303.66
2617270915	273.56
2506783047	248.91
2684622665	301.53
2718217700-cluster	298.93
2502171174	236.02
2630968663	378.69
2518645512	164.9
2512047006	213.52
2506783034	129.23
2617270777	234.01
2617271223	267.56
2724679816	197.25
2508501014	285.07
2728369535	290.93
2639762639	255.79
2681813044	297.29
2508501019	360.41
2521172713	371.39
2576861458	373.25
2508501020	266.19
2609460336	272.07
2690315685	251.89
2690315684	295.91
2508501015	266.81
649633053	304.23
2617270895	295.96
2537561866	269.22
2663762745	265.19
2617271222	225.85
2695420318	238.7
2506783052	223.46
2512875008	202.7
2512875007	229.32
2617270917	266.41
2671180169	301.33
2651870118	217.87
2600255154	241.91
2619618938	225.12
2617270898	255.12
2512875005	174.54
2512875006	186.89
2684622567	223.25
2617270873	269.57
2724679794	234.04
2724679704	252.41
2617271215	240.62
2636416117	196.13
2671180119	236.42
2617270732	296.18
2684622631	207.96
2721755922	233.94
2645727699	260.43
2724679803	230.31
2617270761	267.27
2651870127	251.89
2693429869	374.94
2506520034	379.54
2602041564	329.69
2602041563	314.96
2639762563	288.56
2510065051	372.25
2576861807	328.02
646311934	359.55
2506783009	263.24
2718217640	321.9
2585427993	318.73
2627854207	194.92
2517093029	270.9
2509601048	331.66
2667527214	328.72
2671180170	281.12
2582580504	314.83
2510461022	301.96
2693429900	293.13
2636416047	367.7
2554235477	348.82
2506520044	295.96
2651869720	279.8
2740891999	288.37
2617270925	230.46
2517287024	294.02
2728369221	288.24
2597489945	268.01
2505679075	191.74
2505679073	179.25
2540341105	125.2
2681813425-cluster	98.03
2576861808	160.71
2728369543	149.82
2634166298-cluster	109.09
2684622607	164.81
2506783068	155.84
2681813007	65.68
648028040	199.1
2506381025	173.09
2508501105	205.66
2505313014	167.73
2617271069	171.91
2630968972	172.46
2639762999	206.39
2642422537	155.62
2703719067-cluster	176.74
2642422606	153.9
646564550	183.64
2706794887	162.36
2642422540	185.89
2519103099	154.03
2515075008	212.78
2642422561	192.64
2509601008	168.92
2502790017	171.07
2630968686-cluster	165.84
2634166439	162.73
2648501421	201.88
2630968669-cluster	185.89
2651869834	153.17
2627854269	190.29
2684622506	74.52
2630968805	188.18
2540341077	167.67
2576861399	205.6
2630968898	209.95
2636415905-cluster	198.22
2639762994	206.77
2667527934	204.17
2681813026	96.12
2627853753	158.6
2645727536	184.49
2651869866	178.59
2627853658	188.81
2627853858	177.29
2595698250	142.79
2627854140-cluster	142.91
2627853629-cluster	169.68
2651869869	173.29
2511231210	92.47
2728369318	138.18
2516653088-cluster	155.98
2728369320	182.94
2630968343-cluster	265.5
2681813006	156.33
2519899733	291.79
2636415780	220.74
2582581250	176.67
2728369539	273.9
2582580744	287.13
2681812966	243.94
2622736425	197.64
2654588138	191.86
2593339167	171.21
2619619116	179.12
2684622741	191.93
2627853951	134.22
2667527400	151.69
2622736427	155.98
2622736428	170.18
2540341183	202.33
2558860120	190.32
2627853524	156.74
2617271074	154.14
2681813027	118.16
2684622743	187.01
2684622742	220.76
2684622740	201.6
649633067	112.73
2627854017	188.08
2517093008	137.04
2511231109	182.42
2563366543	203.55
2506520039	167.76
2501025505	307.38
2588253738	279.38
2517093039	229.26
2687453501	238.22
2521172719	192.47
2518645553	213.95
2636415503	232.9
2681812990	225.15
2565956587	229.59
2681813028	130.18
2687453162	258.91
2687453428	204.45
2654588132	272.75
2681813416	263.57
2547132157	177.36
2513237398	237.47
2510065005	176.67
2645727876	245.72
2684622610	214.04
