sequence	16S_rRNA_Count	metadata_NSTI
SV_1000_Sphingomonadales	1	0.037705
SV_1001_Rhodospirillales	4	0.052494
SV_1002_Enterobacterales	12	0.283222
SV_1003_NA	2	0.685724
SV_1004_Enterobacterales	5	0.028635
SV_1005_Flavobacteriales	3	0.263327
SV_1006_Rhodospirillales	4	0.630039
SV_1007_Flavobacteriales	3	0.055469
SV_1008_Enterobacterales	5	0.12932
SV_1009_Rhodobacterales	1	0.028631
SV_100_Flavobacteriales	3	0.235166
SV_1010_Enterobacterales	2	0.276395
SV_1011_Enterobacterales	5	0.295601
SV_1012_Rhodobacterales	2	0.022008
SV_1013_Flavobacteriales	3	0.171107
SV_1014_Flavobacteriales	3	0.117846
SV_1015_Nitrosococcales	2	0.241789
SV_1016_Pseudomonadales	3	0.345704
SV_1017_Caulobacterales	2	0.569789
SV_1018_Enterobacterales	5	0.124589
SV_1019_Caulobacterales	2	0.319889
SV_101_Flavobacteriales	2	0.025776
SV_1020_Flavobacteriales	3	0.235166
SV_1021_Nevskiales	3	0.255496
SV_1022_Flavobacteriales	3	0.10826
SV_1023_Rhodobacterales	2	0.143006
SV_1024_Caulobacterales	2	0.05161
SV_1025_Rhodobacterales	2	0.113181
SV_1026_Enterobacterales	5	0.373904
SV_1027_Caulobacterales	2	0.423328
SV_1028_Rhodobacterales	2	0.112731
SV_1029_Sphingomonadales	1	0.043969
SV_102_Flavobacteriales	3	0.235166
SV_1030_Caulobacterales	2	0.630295
SV_1031_Rhodospirillales	4	0.073581
SV_1032_Enterobacterales	3	0.695152
SV_1033_NA	3	0.039285
SV_1034_Rhodospirillales	4	0.229299
SV_1035_NA	3	0.520353
SV_1036_Flavobacteriales	3	0.607331
SV_1037_Enterobacterales	5	0.087043
SV_1038_Enterobacterales	5	0.141835
SV_1039_Pseudomonadales	3	0.16376
SV_103_Flavobacteriales	3	0.01969
SV_1040_Sphingomonadales	1	0.229525
SV_1041_Rhodospirillales	4	0.056713
SV_1042_Sphingomonadales	2	0.396736
SV_1043_Rhodobacterales	2	0.031772
SV_1044_Rhodospirillales	4	0.030297
SV_1045_Rhodobacterales	2	0.326703
SV_1046_Rhodobacterales	2	0.15834
SV_1047_Flavobacteriales	3	0.075168
SV_1048_Enterobacterales	5	0.103333
SV_1049_Rhodobacterales	2	0.313011
SV_104_Rhodobacterales	2	0.1095
SV_1050_Sphingomonadales	4	0.027771
SV_1051_Rhodobacterales	2	0.022067
SV_1052_Flavobacteriales	3	0.253313
SV_1053_NA	3	0.235166
SV_1054_Flavobacteriales	2	0.214437
SV_1055_Enterobacterales	5	0.026258
SV_1056_Enterobacterales	7	0.644862
SV_1057_Rhodobacterales	4	0.073625
SV_1058_Rhodobacterales	2	0.122158
SV_1059_Enterobacterales	5	0.313078
SV_105_Caulobacterales	2	0.315686
SV_1060_Cytophagales	3	0.244793
SV_1061_Rhodobacterales	2	0.14804
SV_1062_Betaproteobacteriales	3	0.510231
SV_1063_Nitrosococcales	2	0.767232
SV_1064_Sphingomonadales	1	0.045984
SV_1065_Pseudomonadales	4	0.237402
SV_1066_Enterobacterales	5	0.078719
SV_1067_Rhodospirillales	4	0.046337
SV_1068_Caulobacterales	2	0.054767
SV_1069_Rhodobacterales	2	0.158791
SV_106_Flavobacteriales	3	0.01969
SV_1070_Enterobacterales	5	0.175773
SV_1071_Enterobacterales	5	0.282547
SV_1072_Rhodobacterales	2	0.013734
SV_1073_Rhodobacterales	2	0.276395
SV_1074_Sphingomonadales	1	0.031182
SV_1075_Cytophagales	3	0.409903
SV_1076_Sphingomonadales	2	0.499108
SV_1077_Enterobacterales	5	0.05585
SV_1078_Enterobacterales	12	0.388611
SV_1079_Rhizobiales	2	0.033959
SV_107_Rhodobacterales	2	0.109502
SV_1080_Rhodobacterales	4	0.032196
SV_1081_Rhodospirillales	4	0.05696
SV_1082_Enterobacterales	8	0.173509
SV_1083_Rhodobacterales	2	0.500085
SV_1084_Caulobacterales	2	0.249982
SV_1085_Rhodobacterales	4	0.059721
SV_1086_Enterobacterales	5	0.022689
SV_1087_Rhodospirillales	3	0.074201
SV_1088_Rhizobiales	2	0.03003
SV_1089_Enterobacterales	5	0.206629
SV_108_Rhodobacterales	2	0.033286
SV_1090_Enterobacterales	7	0.631941
SV_1091_Rhodospirillales	4	0.022388
SV_1092_Enterobacterales	5	0.130928
SV_1093_Enterobacterales	5	0.028207
SV_1094_Flavobacteriales	3	0.107967
SV_1095_Caulobacterales	2	0.133355
SV_1096_Flavobacteriales	2	0.545587
SV_1097_Rhodobacterales	2	0.1585
SV_1098_Rhodobacterales	1	0.024794
SV_1099_Sphingomonadales	2	0.380904
SV_109_Actinomycetales	1	0.196084
SV_10_Sphingomonadales	1	0.01082
SV_1100_Rhizobiales	3	0.027547
SV_1101_Sphingomonadales	1	0.02009
SV_1102_Pseudomonadales	3	0.303427
SV_1103_Rhizobiales	1	0.212365
SV_1104_Rhodospirillales	4	0.093903
SV_1105_Sphingomonadales	1	0.024193
SV_1106_Enterobacterales	5	0.130247
SV_1107_Rhizobiales	2	0.14804
SV_1108_Rhodobacterales	4	0.025811
SV_1109_Rhizobiales	3	0.049401
SV_110_Rhodospirillales	4	0.022187
SV_1110_Rhodobacterales	2	0.125678
SV_1111_Rhodobacterales	2	0.130287
SV_1112_NA	2	0.06309
SV_1113_Caulobacterales	2	0.063247
SV_1114_Sphingomonadales	1	0.192517
SV_1115_Rhodospirillales	4	0.386047
SV_1116_Caulobacterales	2	0.278776
SV_1117_Sphingomonadales	1	0.016538
SV_1118_Rhodospirillales	4	0.086422
SV_1119_Rhodobacterales	2	0.119096
SV_111_Rhodobacterales	2	0.1095
SV_1120_Flavobacteriales	3	0.263327
SV_1121_Enterobacterales	4	0.585314
SV_1122_Rhodobacterales	2	0.027721
SV_1123_Rhodobacterales	2	0.115568
SV_1124_Rhodobacterales	2	0.057723
SV_1125_Rhizobiales	2	0.143113
SV_1126_Rhodobacterales	3	0.039306
SV_1127_Enterobacterales	8	0.062268
SV_1128_Caulobacterales	2	0.918174
SV_1129_Rhodobacterales	2	0.133957
SV_112_Caulobacterales	2	0.46076
SV_1130_Flavobacteriales	3	0.235166
SV_1131_Sphingomonadales	2	0.237816
SV_1132_Rhodobacterales	2	0.439872
SV_1133_Sphingomonadales	1	0.022258
SV_1134_Flavobacteriales	2	0.209616
SV_1135_Sphingomonadales	1	0.042343
SV_1136_Flavobacteriales	3	0.253313
SV_1137_Sphingomonadales	1	0.068127
SV_1138_Flavobacteriales	3	0.253313
SV_1139_Rhodospirillales	4	0.075324
SV_113_Betaproteobacteriales	2	0.20458
SV_1140_Rhodobacterales	4	0.014667
SV_1141_Enterobacterales	9	0.39253
SV_1142_Pseudomonadales	2	0.70567
SV_1143_Enterobacterales	7	0.268333
SV_1144_Flavobacteriales	2	0.386937
SV_1145_Rhodobacterales	2	0.249982
SV_1146_Flavobacteriales	3	0.235166
SV_1147_Caulobacterales	2	0.790559
SV_1148_Caulobacterales	2	0.259921
SV_1149_Flavobacteriales	6	0.040678
SV_114_Flavobacteriales	3	0.01969
SV_1150_Flavobacteriales	2	0.219644
SV_1151_Enterobacterales	12	0.425214
SV_1152_Enterobacterales	12	0.4499
SV_1153_Rhodobacterales	2	0.113186
SV_1154_Rhodobacterales	2	0.056068
SV_1155_Flavobacteriales	3	1.400437
SV_1156_Flavobacteriales	3	0.253313
SV_1157_Rhodobacterales	2	0.015312
SV_1158_Rhodobacterales	2	0.054
SV_1159_Enterobacterales	5	0.352705
SV_115_Rhodobacterales	2	0.1095
SV_1160_NA	3	0.456578
SV_1161_Enterobacterales	5	0.028685
SV_1162_NA	2	0.217814
SV_1163_Flavobacteriales	2	0.080843
SV_1164_Enterobacterales	5	0.152775
SV_1165_Rhodobacterales	2	0.014673
SV_1166_Rhodobacterales	2	0.039937
SV_1167_Rhodobacterales	4	0.027961
SV_1168_Rhodobacterales	2	0.111626
SV_1169_Flavobacteriales	3	0.60314
SV_116_Rhodospirillales	4	0.02239
SV_1170_Enterobacterales	12	0.384152
SV_1171_NA	3	0.402264
SV_1172_Rhodobacterales	2	0.124254
SV_1173_Flavobacteriales	3	0.058267
SV_1174_Caulobacterales	2	0.473631
SV_1175_NA	2	0.291937
SV_1176_Rhodospirillales	2	0.172619
SV_1177_Sphingomonadales	2	0.404862
SV_1178_Pseudomonadales	3	0.405841
SV_1179_Flavobacteriales	3	0.059694
SV_117_Rhodobacterales	2	0.1095
SV_1180_Rhodobacterales	2	0.203739
SV_1181_Sphingomonadales	2	0.134606
SV_1182_Flavobacteriales	3	0.060028
SV_1183_Enterobacterales	5	0.069377
SV_1184_Enterobacterales	5	0.162706
SV_1185_Rhodobacterales	2	0.441481
SV_1186_Caulobacterales	3	0.370835
SV_1187_Caulobacterales	1	0.504166
SV_1188_Caulobacterales	2	0.468763
SV_1189_Flavobacteriales	2	0.091815
SV_118_Caulobacterales	2	0.701587
SV_1190_Rhodobacterales	2	0.144201
SV_1191_Flavobacteriales	3	0.023456
SV_1192_Rhodospirillales	3	0.086901
SV_1193_Rhodospirillales	2	0.063836
SV_1194_Rhodobacterales	2	0.338306
SV_1195_Rhodospirillales	4	0.050593
SV_1196_Sphingomonadales	1	0.026063
SV_1197_Rhizobiales	2	0.432113
SV_1198_Rhodospirillales	4	0.046515
SV_1199_Enterobacterales	5	0.1214
SV_119_Caulobacterales	2	0.320191
SV_11_Flavobacteriales	3	0.235166
SV_1200_Rhodobacterales	2	0.147037
SV_1201_Enterobacterales	7	0.268333
SV_1202_Caulobacterales	2	0.181766
SV_1203_Caulobacterales	2	0.059035
SV_1204_Sphingomonadales	1	0.014586
SV_1205_Enterobacterales	5	0.161111
SV_1206_Enterobacterales	12	0.295621
SV_1207_Caulobacterales	2	0.016919
SV_1208_Enterobacterales	12	0.329365
SV_1209_Caulobacterales	2	0.446043
SV_120_Rhodospirillales	4	0.022394
SV_1210_Rhodospirillales	4	0.047897
SV_1211_Sphingomonadales	2	0.041988
SV_1212_Caulobacterales	2	0.062286
SV_1213_Rhodobacterales	3	0.026064
SV_1214_Rhodobacterales	2	0.191381
SV_1215_NA	3	0.235166
SV_1216_Caulobacterales	2	0.249982
SV_1217_Rhodobacterales	2	0.026602
SV_1218_Flavobacteriales	3	0.690184
SV_1219_NA	3	0.235166
SV_121_Flavobacteriales	3	0.01784
SV_1220_Flavobacteriales	3	0.235166
SV_1221_Rhodospirillales	4	0.062648
SV_1222_Rhodobacterales	2	0.029372
SV_1223_Rhodobacterales	2	0.191381
SV_1224_Enterobacterales	4	0.535617
SV_1225_Rhodobacterales	2	0.287137
SV_1226_Rhizobiales	3	0.050079
SV_1227_Rhodospirillales	4	0.057298
SV_1228_Enterobacterales	5	0.205709
SV_1229_Rhodobacterales	2	0.443496
SV_122_Sphingomonadales	1	0.043491
SV_1230_Rhizobiales	3	0.248419
SV_1231_Caulobacterales	2	0.670842
SV_1232_Rhodobacterales	2	0.043254
SV_1233_Enterobacterales	5	0.579303
SV_1234_Caulobacterales	2	0.061825
SV_1235_Enterobacterales	10	0.084392
SV_1236_Sphingomonadales	2	0.037586
SV_1237_Rhodobacterales	2	0.007247
SV_1238_Rhodospirillales	4	0.066373
SV_1239_Flavobacteriales	2	0.208964
SV_123_Rhodobacterales	2	0.109479
SV_1240_Cytophagales	3	0.615468
SV_1241_Flavobacteriales	3	0.263327
SV_1242_Pseudomonadales	6	0.493706
SV_1243_Rhodobacterales	2	0.020066
SV_1244_Rhodobacterales	2	0.111636
SV_1245_Betaproteobacteriales	3	0.943632
SV_1246_Betaproteobacteriales	3	0.609585
SV_1247_Enterobacterales	5	0.152775
SV_1248_Flavobacteriales	2	0.208634
SV_1249_Flavobacteriales	3	0.062417
SV_124_Rhodobacterales	2	0.028279
SV_1250_Enterobacterales	7	0.755795
SV_1251_Caulobacterales	2	0.629483
SV_1252_Enterobacterales	3	0.739115
SV_1253_NA	3	0.045135
SV_1254_Rhodobacterales	2	0.217814
SV_1255_Caulobacterales	2	0.624432
SV_1256_Rhizobiales	2	0.025414
SV_1257_Cytophagales	3	0.409903
SV_1258_Enterobacterales	14	0.314691
SV_1259_Flavobacteriales	2	0.214439
SV_125_Sphingomonadales	1	0.016331
SV_1260_Rhodospirillales	4	0.052848
SV_1261_Sphingomonadales	1	0.024151
SV_1262_Flavobacteriales	2	0.212132
SV_1263_Flavobacteriales	3	0.602761
SV_1264_Cytophagales	3	0.263327
SV_1265_Rhodobacterales	1	0.022214
SV_1266_Flavobacteriales	3	0.263327
SV_1267_Flavobacteriales	3	0.331302
SV_1268_Enterobacterales	5	0.475421
SV_1269_Rhizobiales	2	0.14804
SV_126_Enterobacterales	8	0.193611
SV_1270_Sphingomonadales	2	0.340561
SV_1271_Sphingomonadales	3	0.167228
SV_1272_Enterobacterales	5	0.032037
SV_1273_Rhodobacterales	2	0.022198
SV_1274_Rhodobacterales	2	0.113327
SV_1275_NA	2	0.048689
SV_1276_Rhodobacterales	2	0.031893
SV_1277_Enterobacterales	8	0.421219
SV_1278_Rhodobacterales	2	0.119506
SV_1279_Sphingomonadales	1	0.31388
SV_127_Rhodobacterales	2	0.1095
SV_1280_Rhodobacterales	2	0.048363
SV_1281_Sphingomonadales	1	0.036762
SV_1282_Rhodospirillales	4	0.080111
SV_1283_Rhizobiales	3	0.279643
SV_1284_Sphingomonadales	1	0.26708
SV_1285_Rhodobacterales	2	0.048943
SV_1286_Caulobacterales	2	0.2381
SV_1287_Sphingomonadales	1	0.014592
SV_1288_Rhodospirillales	4	0.036351
SV_1289_Rhodospirillales	3	0.086973
SV_128_Pseudomonadales	4	0.148767
SV_1290_Sphingomonadales	1	0.353838
SV_1291_Sphingomonadales	1	0.010919
SV_1292_Flavobacteriales	2	0.058775
SV_1293_Enterobacterales	10	0.098393
SV_1294_Rhodobacterales	2	0.261917
SV_1295_Sphingomonadales	2	0.236656
SV_1296_Sphingomonadales	1	0.025931
SV_1297_NA	2	0.191381
SV_1298_Sphingomonadales	4	0.020372
SV_1299_Caulobacterales	2	0.020477
SV_129_Rhodobacterales	2	0.027575
SV_12_Rhodobacterales	2	0.11236
SV_1300_Rhodobacterales	2	0.132744
SV_1301_Rhodobacterales	2	0.113571
SV_1302_Sphingomonadales	4	0.016599
SV_1303_Rhodobacterales	2	0.113571
SV_1304_Rhodobacterales	2	0.529092
SV_1305_Rhodobacterales	2	0.079678
SV_1306_Rhodospirillales	2	0.283131
SV_1307_Enterobacterales	5	0.050937
SV_1308_Sphingomonadales	1	0.132791
SV_1309_Nevskiales	2	0.069795
SV_130_Rhizobiales	3	0.339062
SV_1310_Enterobacterales	8	0.280981
SV_1311_Sphingomonadales	2	0.02612
SV_1312_Sphingomonadales	1	0.050662
SV_1313_Rhodobacterales	2	0.047046
SV_1314_NA	1	0.055455
SV_1315_Sphingomonadales	1	0.03944
SV_1316_Flavobacteriales	2	0.053756
