sequence	TF_perc	metadata_NSTI
2228664026	1.561848065606	0.03951
2236661015	1.18361427077	0.006316
2264265199	1.792990940228	0.533422
2264813001-cluster	1.785986610694	1.262822
2264867162	1.21863591844	0.50368
2265123003	1.225640247974	0.119913
2500069000	2.948705313338	0.082026
2501846311	0.7983761464	2e-06
2504557005	1.449778793062	0.386191
2504756036	1.42876580446	0.005231
2504756040	1.18361427077	2e-06
2504756061	3.789224857418	0.05884
2504756089	4.377588538274	0.007072
2505119009	2.066159792054	3e-06
2505119014	3.733190221146	2e-06
2505313046-cluster	3.978341754836	0.00326
2505679056	4.412610185944	0.056116
2505679067	3.333943437708	2e-06
2505679082	3.859268152758	0.011446
2506381002-cluster	1.134583964032	0.006215
2506381009	0.819389135002	0.001566
2506520011	1.232644577508	0.254974
2506520045	1.940081860442	0.33812
2506783051-cluster	1.785986610694	0.284605
2507262013	0.882428100808	0.03152
2507262043	1.267666225178	0.236627
2508501002	3.011744279144	0.426584
2508501018	2.087172780656	0.043827
2509276007	4.013363402506	0.343069
2509276020	2.017129485316	0.142119
2509276066	1.07854932776	0.003264
2509601000	6.128670921774	0.094467
2509601043-cluster	4.58071409476	3e-06
2509887000	3.368965085378	4e-06
2510065045	5.73642846787	2e-06
2510065092	4.937934900994	0.003925
2510436004	3.439008380718	0.00316
2510461003	3.789224857418	0.144323
2510461017	3.193856847028	0.047197
2510461056	1.961094849044	0.58027
2510461075	1.526826417936	0.627057
2511231008	5.120047468878	0.004871
2511231062	1.001501702886	3e-06
2511231063-cluster	2.332324314346	4e-06
2511231077	3.130817881222	0.660863
2511231084	1.933077530908	2e-06
2511231106	3.35495642631	0.788273
2511231113-cluster	4.12543267505	2e-06
2511231119	4.272523595264	4e-06
2511231123	3.509051676058	2e-06
2511231146-cluster	1.863034235568	3e-06
2511231169	3.971337425302	2e-06
2511231178	4.902913253324	0.013356
2511231204	1.856029906034	3e-06
2512047033	1.610878372344	0.033293
2512047048	2.157216075996	0.023707
2512564004	2.710558109182	0.140629
2512564028	3.614116619068	6e-06
2512564055	1.351718179586	0.154303
2512875009	1.968099178578	0.328266
2512875014	4.006359072972	0.006121
2513020024-cluster	1.316696531916	3e-06
2513237084	5.42123363884	0.007713
2513237122	4.181467311322	0.103294
2513237285	0.630272237584	0.007012
2513237295	2.332324314346	0.026137
2513237304	3.642133937204	0.001529
2513237316	1.757969292558	0.073145
2513237327	3.523060335126	0.032797
2513237355	2.661527802444	0.029727
2513237373	3.558081982796	0.009043
2513237394-cluster	1.617882701878	0.003183
2514752023	4.692783367304	2e-06
2515154063-cluster	1.260661895644	0.023453
2515154086	4.846878617052	0.053083
2515154087	2.745579756852	0.246153
2515154144	3.228878494698	0.277481
2515154146	1.806999599296	0.48001
2515154170	2.920687995202	0.001874
2515154172	1.491804770266	0.075313
2516143027	4.12543267505	3e-06
2516143048-cluster	0.819389135002	0.003285
2516143080	0.714324191992	0.008214
2516143106	1.42876580446	0.031559
2516493026	2.430384927822	0.015715
2516653017	2.157216075996	0.002062
2516653066	2.892670677066	3e-06
2517093034-cluster	4.776835321712	2e-06
2517287006	3.999354743438	0.023311
2517287025	3.63512960767	0.061319
2517487003	3.172843858426	0.264829
2517572222	2.150211746462	0.113385
2518285528	1.60387404281	0.045578
2518285588	4.643753060566	4e-06
2518645501	3.698168573476	0.074491
2518645542	1.267666225178	0.685823
2519103048-cluster	4.391597197342	0.001636
2519103053-cluster	5.512289922782	3e-06
2519103063	4.58071409476	0.004634
2519103094-cluster	4.076402368312	3e-06
2519103095	5.645372183928	0.001664
2519103097	2.493423893628	2e-06
2519103124-cluster	4.069398038778	0.003
2519103129	4.167458652254	0.001497
2519103146	0.959475725682	0.003445
2519103147	4.05538937971	0.004508
2519899535	3.31993477864	0.095297
2519899580	3.572090641864	0.004778
2519899592-cluster	4.048385050176	0.12466
2519899625-cluster	4.482653481284	3e-06
2519899727-cluster	4.461640492682	0.001913
2519899805-cluster	1.736956303956	0.00863
2519899829-cluster	4.643753060566	3e-06
2519899835-cluster	4.146445663652	6e-06
2519899839	1.863034235568	3e-06
2521172630	2.605493166172	0.032927
2521172666	1.63889569048	0.001689
2522125046	1.295683543314	0.007911
2522125057	3.656142596272	0.019663
2522125074	1.46378745213	0.292581
2522125080	5.295155707228	3e-06
2522125118	1.260661895644	0.007912
2522125159	4.16045432272	0.001673
2522125162	2.47941523456	0.009462
2522125167	2.696549450114	2e-06
2522572009-cluster	1.968099178578	0.113791
2522572023	3.978341754836	4e-06
2522572039	1.856029906034	0.08617
2522572064	4.384592867808	0.040879
2522572097	3.544073323728	0.027702
2522572147	1.029519021022	2e-06
2522572151	3.172843858426	2e-06
2522572152-cluster	3.628125278136	3e-06
2522572165-cluster	3.628125278136	3e-06
2522572166	4.636748731032	0.003185
2522572167	1.926073201374	0.004911
2522572168-cluster	2.920687995202	0.001697
2522572169	0.16798648834	0.001492
2522572170	0.287060090418	0.0088
2522572171	2.668532131978	0.05406
2522572173-cluster	1.449778793062	3e-06
2522572175	2.122194428326	0.011014
2522572177	2.122194428326	0.009495
2522572200-cluster	0.210012465544	0.001504
2523231006	2.122194428326	0.014406
2523231020	0.959475725682	2e-06
2523231024	3.298921790038	2e-06
2523231036	2.843640370328	0.005047
2523231054	2.423380598288	0.151418
2523231055	2.30430699621	0.135444
2523533510	4.167458652254	0.00635
2523533541	2.96971830194	0.163899
2523533554	1.799995269762	0.264022
2523533556	3.523060335126	0.137951
2523533564-cluster	4.342566890604	2e-06
2523533582	2.44439358689	0.010382
2523533607	1.365726838654	0.098796
2524023137	3.018748608678	0.181223
2524023149	2.990731290542	0.005519
2524023196	2.423380598288	0.041202
2524023199	6.114662262706	0.00197
2524023210	3.270904471902	2e-06
2524023237	1.25365756611	0.004106
2524614540	3.333943437708	0.165949
2524614546	2.82963171126	2e-06
2524614555	2.255276689472	0.259315
2524614836	1.11357097543	3e-06
2526164515	1.07854932776	2e-06
2526164595	4.167458652254	0.003171
2526164605	3.347952096776	0.001488
2526164666	4.09041102738	3e-06
2527291724	2.486419564094	0.194786
2528311013	5.750437126938	0.001612
2529292758-cluster	4.153449993186	5e-06
2529292913	3.936315777632	4e-06
2531839146-cluster	3.719181562078	3e-06
2531839198	3.011744279144	0.003036
2531839218	3.684159914408	0.020292
2531839348-cluster	3.49504301699	7e-06
2531839356	3.677155584874	0.003203
2531839408	6.0516232969	0.003961
2531839413	3.516056005592	0.00168
2531839463	2.472410905026	0.008006
2531839508	4.202480299924	3e-06
2531839611-cluster	3.649138266738	4e-06
2531839625	4.601727083362	4e-06
2531839657	3.382973744446	3e-06
2531839678	0.245034113214	0.003512
2531839682	5.042999844004	2e-06
2531839703	0.854410782672	0.001722
2531839711	0.287060090418	0.001782
2531839741	1.961094849044	0.969926
2534681667	4.02036773204	0.003358
2534681668	4.02036773204	3e-06
2534681685	1.085553657294	0.001996
2534681697	3.263900142368	0.00157
2534681968	0.301068749486	0.00355
2534681983	3.81023784602	0.007586
2534681984	3.53006466466	0.029477
2534682142	3.432004051184	0.010155
2534682204	3.368965085378	0.102348
2534682293	3.361960755844	0.001624
2534682323	4.146445663652	0.004494
2537561513	4.93093057146	0.001972
2537561554	2.766592745454	0.026
2537561596	2.591484507104	2e-06
