sequence	d.gRodon	metadata_NSTI
2228664026	13.2754054002229	0.03951
2236661015	10.8923455659232	0.006316
2264265199	17.769538287452	0.533422
2264813001-cluster	11.7159766896994	1.262822
2264867162	13.9849203710834	0.50368
2265123003	5.36531735547304	0.119913
2500069000	1.1853359429407	0.082026
2501846311	1.42970156896803	2e-06
2504557005	10.2326180687724	0.386191
2504756036	3.28882437806082	0.005231
2504756040	3.28882437806082	2e-06
2504756061	5.42147995582047	0.05884
2504756089	1.03526067937333	0.007072
2505119009	6.47141655225667	3e-06
2505119014	1.09059103868171	2e-06
2505313046-cluster	3.50086472403326	0.00326
2505679056	10.0217111740908	0.056116
2505679067	4.54188734012395	2e-06
2505679082	2.38146941562667	0.011446
2506381002-cluster	7.10724563474744	0.006215
2506381009	7.48709822888006	0.001566
2506520011	6.33803266554707	0.254974
2506520045	2.14595493348569	0.33812
2506783051-cluster	7.64466419842346	0.284605
2507262013	5.83142835504431	0.03152
2507262043	9.51326679807841	0.236627
2508501002	10.3397301743626	0.426584
2508501018	8.30879305322065	0.043827
2509276007	1.97442694099708	0.343069
2509276020	2.87242665697277	0.142119
2509276066	3.02594586443795	0.003264
2509601000	2.40639795315167	0.094467
2509601043-cluster	2.48276018890398	3e-06
2509887000	1.74249594033851	4e-06
2510065045	5.0403508577685	2e-06
2510065092	4.4948366813398	0.003925
2510436004	3.61195767814896	0.00316
2510461003	7.10724563474744	0.144323
2510461017	10.8923455659232	0.047197
2510461056	7.88725235762742	0.58027
2510461075	9.22066732542045	0.627057
2511231008	2.6428311653093	0.004871
2511231062	6.47141655225667	3e-06
2511231063-cluster	2.43158743544424	4e-06
2511231077	4.26679434485442	0.660863
2511231084	0.993024479829788	2e-06
2511231106	7.64466419842346	0.788273
2511231113-cluster	6.01647709406828	2e-06
2511231119	0.548505278370558	4e-06
2511231123	0.526127553755372	2e-06
2511231146-cluster	12.21429102068	3e-06
2511231169	2.38146941562667	2e-06
2511231178	2.19111655142558	0.013356
2511231204	7.2568176070908	3e-06
2512047033	11.59460766835	0.033293
2512047048	1.89387496802484	0.023707
2512564004	6.60760750263613	0.140629
2512564028	0.422785207160407	6e-06
2512564055	5.95415075489759	0.154303
2512875009	5.14642503303172	0.328266
2512875014	9.61284894127334	0.006121
2513020024-cluster	2.72669613711689	3e-06
2513237084	7.88725235762742	0.007713
2513237122	6.88864813623119	0.103294
2513237285	5.83142835504431	0.007012
2513237295	10.5573297783662	0.026137
2513237304	3.089626890029	0.001529
2513237316	6.67677403927066	0.073145
2513237327	3.39318865504023	0.032797
2513237355	1.35716667851966	0.029727
2513237373	0.84942167343209	0.009043
2513237394-cluster	0.913651193439016	0.003183
2514752023	1.74249594033851	2e-06
2515154063-cluster	1.95397330986572	0.023453
2515154086	1.459789636065	0.053083
2515154087	4.7350669282391	0.246153
2515154144	3.7265759454164	0.277481
2515154146	3.68797132136683	0.48001
2515154170	6.07945584744788	0.001874
2515154172	3.61195767814896	0.075313
2516143027	1.38572824897003	3e-06
2516143048-cluster	3.53751076998723	0.003285
2516143080	3.46459830453738	0.008214
2516143106	3.28882437806082	0.031559
2516493026	3.53751076998723	0.015715
2516653017	10.6678408728262	0.002062
2516653066	2.03708143891446	3e-06
2517093034-cluster	10.3397301743626	2e-06
2517287006	7.72468634655014	0.023311
2517287025	6.60760750263613	0.061319
2517487003	4.68601506902794	0.264829
2517572222	2.69844954270619	0.113385
2518285528	12.4713407545188	0.045578
2518285588	4.83471640372253	4e-06
2518645501	1.83562507041489	0.074491
2518645542	9.51326679807841	0.685823
2519103048-cluster	4.78463224821737	0.001636
2519103053-cluster	1.38572824897003	3e-06
2519103063	2.48276018890398	0.004634
2519103094-cluster	0.806326870038024	3e-06
2519103095	2.48276018890398	0.001664
2519103097	4.26679434485442	2e-06
2519103124-cluster	2.43158743544424	0.003
2519103129	1.49051090648306	0.001497
2519103146	5.59351980067264	0.003445
2519103147	2.05840502205949	0.004508
2519899535	10.7795087656675	0.095297
2519899580	2.87242665697277	0.004778
2519899592-cluster	1.1853359429407	0.12466
2519899625-cluster	0.858313175427354	3e-06
2519899727-cluster	1.11354252524327	0.001913
2519899805-cluster	10.6678408728262	0.00863
2519899829-cluster	5.0403508577685	3e-06
2519899835-cluster	1.17305672225127	6e-06
2519899839	9.22066732542045	3e-06
2521172630	5.95415075489759	0.032927
2521172666	14.279232996602	0.001689
2522125046	6.96075652546087	0.007911
2522125057	4.93646300224871	0.019663
2522125074	9.51326679807841	0.292581
2522125080	5.83142835504431	3e-06
2522125118	9.71347348172818	0.007912
2522125159	9.71347348172818	0.001673
2522125162	1.12519876841988	0.009462
2522125167	8.39576711136122	2e-06
2522572009-cluster	9.03061798521967	0.113791
2522572023	1.38572824897003	4e-06
2522572039	5.83142835504431	0.08617
2522572064	9.61284894127334	0.040879
2522572097	4.88532482577579	0.027702
2522572147	12.601887165884	2e-06
2522572151	2.53500987287359	2e-06
2522572152-cluster	0.464324664277525	3e-06
2522572165-cluster	1.0792933064855	3e-06
2522572166	4.05032157383191	0.003185
2522572167	13.4143685292505	0.004911
2522572168-cluster	5.3097365589326	0.001697
2522572169	8.48365158895031	0.001492
2522572170	5.25473153913366	0.0088
2522572171	18.333419116115	0.05406
2522572173-cluster	4.17885044433254	3e-06
2522572175	2.99459925988675	0.011014
2522572177	2.72669613711689	0.009495
2522572200-cluster	9.12514789933123	0.001504
2523231006	2.72669613711689	0.014406
2523231020	29.908745637203	2e-06
2523231024	0.904186429711729	2e-06
2523231036	2.30822257939748	0.005047
2523231054	1.459789636065	0.151418
2523231055	3.96683944444355	0.135444
2523533510	1.16090470538253	0.00635
2523533541	6.20739798545863	0.163899
2523533554	11.121574959906	0.264022
2523533556	5.83142835504431	0.137951
2523533564-cluster	3.28882437806082	2e-06
2523533582	5.95415075489759	0.010382
2523533607	3.15464808269573	0.098796
2524023137	4.26679434485442	0.181223
2524023149	3.50086472403326	0.005519
2524023196	1.816609325995	0.041202
2524023199	6.27237524386797	0.00197
2524023210	14.1313104989462	2e-06
2524023237	11.8386161670888	0.004106
2524614540	1.37137310932711	0.165949
2524614546	11.8386161670888	2e-06
2524614555	3.35803768152573	0.259315
2524614836	11.8386161670888	3e-06
2526164515	3.02594586443795	2e-06
2526164595	1.16090470538253	0.003171
2526164605	1.85483986618317	0.001488
2526164666	1.24868719826292	3e-06
2527291724	3.15464808269573	0.194786
2528311013	4.13556058449183	0.001612
2529292758-cluster	1.50611314635223	5e-06
2529292913	1.32919379730703	4e-06
2531839146-cluster	1.003419174738	3e-06
2531839198	0.554246874010964	0.003036
2531839218	0.615074416786489	0.020292
2531839348-cluster	3.68797132136683	7e-06
2531839356	3.25475454276435	0.003203
2531839408	2.99459925988675	0.003961
2531839413	0.479059080683063	0.00168
2531839463	0.89481971407222	0.008006
2531839508	1.65409165032266	3e-06
2531839611-cluster	5.95415075489759	4e-06
2531839625	1.19774369898386	4e-06
2531839657	0.520677253878931	3e-06
2531839678	5.53557499230655	0.003512
2531839682	2.6704955625274	2e-06
2531839703	5.3097365589326	0.001722
2531839711	4.83471640372253	0.001782
2531839741	7.64466419842346	0.969926
2534681667	1.72444494616317	0.003358
2534681668	1.72444494616317	3e-06
2534681685	5.71123541540219	0.001996
2534681697	0.682577666965345	0.00157
2534681968	5.53557499230655	0.00355
2534681983	0.373121684988838	0.007586
2534681984	0.89481971407222	0.029477
2534682142	5.53557499230655	0.010155
2534682204	1.95397330986572	0.102348
2534682293	1.83562507041489	0.001624
2534682323	0.993024479829788	0.004494
2537561513	1.32919379730703	0.001972
2537561554	1.34310741603199	0.026
2537561596	2.38146941562667	2e-06
2537561620	1.26175809704274	0.006378
2537561645	7.64466419842346	0.015631
2537561689	1.22295021309995	0.003167
2537561876	1.459789636065	0.006414
2537561890	5.20029633144677	0.001511
2537561892	3.46459830453738	0.001602
2537561897	1.60321676634378	0.006412
2537561915	10.5573297783662	0.020102
2537561975	1.83562507041489	0.001586
2537562035	2.53500987287359	0.001498
2537562041	4.83471640372253	2e-06
2537562049	1.99509467486175	4e-06
2537562128	0.577820594541123	4e-06
2537562160	2.30822257939748	0.001476
2540341007	2.07995181434553	0.010866
2540341046	16.5203428361204	0.008403
2540341173	4.13556058449183	0.003198
2540341241	9.51326679807841	0.043282
2541047173-cluster	1.42970156896803	4e-06
2541047213	1.99509467486175	0.008015
2541047219	2.61545335118243	3e-06
2541047461	3.39318865504023	0.001589
2541047479-cluster	3.28882437806082	3e-06
2541047525	0.589980827974394	0.001504
2541047718-cluster	1.21028133585189	3e-06
2541047747	1.38572824897003	0.001585
2541047785	1.21028133585189	0.003155
2541047822	1.74249594033851	0.001585
2541047860	1.35716667851966	0.004786
2541047895	1.37137310932711	0.001585
2541047933	1.77916676445109	0.001585
2541047983	0.962482033654166	0.001584
2545824527	4.88532482577579	0.003473
2545824670	1.85483986618317	0.001485
2545824791	11.59460766835	0.001672
2546825524	1.99509467486175	0.014475
2547132034	0.993024479829788	3e-06
2547132037	2.30822257939748	0.00147
2547132050	0.885550030813411	3e-06
2547132073	4.22259344998669	2e-06
