assembly	genome.size
2740891980	89.4
2740891986	48.46
2740891981	166.15
2528311132-cluster	104.3
2522125074	88.68
646311906	55.16
2504136002	77.26
646564534	96.46
2634166507	74.57
2728369302	58.18
2728369305	45.57
2681812914	258.02
2728369538	291.84
648028029	194.52
2528311097	190.52
2684622629	212.74
2630968753	178.39
2511231068-cluster	207
2558309064	207.75
2684622664	226.23
2690315681	235.84
2508501017	248.41
2651869823	212.29
2693429892	207.44
644736372	170.61
2667527389	230.52
2562617191	158.48
644736373	156.54
2654588107	270.95
2651870125	216.28
2740891998	199.76
2639763150	97.34
2648501819	123.97
2675903501	157.43
2617270915	145.84
2506783047	159.53
2684622665	149.76
2718217700-cluster	89.26
2502171174	157.6
2630968663	198.8
2518645512	109.1
2512047006	192.98
2506783034	126.05
2617270777	198.19
2617271223	204.54
2724679816	153.32
2508501014	204.29
2728369535	208.86
2639762639	207.27
2681813044	215.17
2508501019	208.03
2521172713	207.96
2576861458	208.09
2508501020	173.18
2609460336	207.24
2690315685	194.42
2690315684	207.39
2508501015	202.21
649633053	210.56
2617270895	189.14
2537561866	246.31
2663762745	159.4
2617271222	145.98
2695420318	138.21
2506783052	190.89
2512875008	118.18
2512875007	141.65
2617270917	183.46
2671180169	205.81
2651870118	157.85
2600255154	141.12
2619618938	182.03
2617270898	134.36
2512875005	179.95
2512875006	187.72
2684622567	170.18
2617270873	160.93
2724679794	160.41
2724679704	192.44
2617271215	193.17
2636416117	167.35
2671180119	179.45
2617270732	150.91
2684622631	165.08
2721755922	154.15
2645727699	185.93
2724679803	180.11
2617270761	165.98
2651870127	199.08
2693429869	246.52
2506520034	237.37
2602041564	208.06
2602041563	198.21
2639762563	221.24
2510065051	222.75
2576861807	256.28
646311934	308.21
2506783009	163.53
2718217640	209.65
2585427993	199.44
2627854207	195.8
2517093029	200.71
2509601048	237.29
2667527214	212.92
2671180170	231.95
2582580504	222.77
2510461022	200.37
2693429900	196.14
2636416047	214.83
2554235477	241.37
2506520044	234.68
2651869720	141.35
2740891999	203.47
2617270925	199.99
2517287024	275.19
2728369221	159.63
2597489945	165.58
2505679075	146.15
2505679073	160.66
2540341105	135.2
2681813425-cluster	139.74
2576861808	119.06
2728369543	77.19
2634166298-cluster	97.87
2684622607	130.25
2506783068	114.66
2681813007	128.25
648028040	138.69
2506381025	162.03
2508501105	137.23
2505313014	180.59
2617271069	162.19
2630968972	116.84
2639762999	109.41
2642422537	104.2
648028039	110.17
2703719067-cluster	79.76
2642422606	85.39
646564550	84.47
2706794887	89.46
2642422540	155.92
2519103099	153.67
2515075008	158.83
2642422561	145.52
2509601008	130.25
2502790017	92.69
2630968686-cluster	246
2634166439	246.89
2648501421	250.76
2630968669-cluster	273.39
2651869834	165.64
2627854269	280.66
2684622506	273.41
2630968805	223.31
2540341077	176.85
2576861399	218.39
2630968898	224.26
2636415905-cluster	225.03
2639762994	220.48
2667527934	217.14
2681813026	227.07
2627853753	307.37
2645727536	275.6
2651869866	280.59
2627853658	208.58
2627853858	223.15
2595698250	155.49
2627854140-cluster	157.42
2627853629-cluster	250.31
2651869869	227.98
650716054	150.66
2511231210	120.92
2728369318	37.23
2516653088-cluster	52.56
2728369320	87.71
2630968343-cluster	113.02
2681813006	112.22
2519899733	128.31
2636415780	85.6
650716052	121.75
2582581250	115.68
2728369539	114.3
650716053	119.33
2582580744	173.04
2681812966	96.79
646311943	144.82
2622736425	75.78
2654588138	74.81
2593339167	131.02
2619619116	89.11
2684622741	90.89
2627853951	65.28
2667527400	101.49
2622736427	99.64
2622736428	53.9
2540341183	83.54
2558860120	86.38
2627853524	112.7
2617271074	98.08
2681813027	92.96
2684622743	121
2684622742	108.49
2684622740	120.44
649633067	34.27
648028041	60.1
2627854017	66.1
646564548	68.85
646311944	68.11
646564547	39.81
2517093008	34.67
2511231109	67.12
2563366543	61.54
2506520039	80.07
650716056	74.14
2501025505	97.13
2588253738	74.48
2517093039	77.77
2687453501	82.16
650716079	74.61
2521172719	66.48
650716080	65.17
2518645553	80.41
2636415503	91.89
2681812990	78.49
2565956587	82.11
2681813028	77.52
2687453162	76.88
2687453428	79.01
650716097	84.39
2654588132	88.04
2681813416	86.54
2547132157	68.29
2513237398	103.85
2510065005	95.18
2645727876	71.36
2684622610	81.12
2684622511	109.01
2558860254	80.9
2667527490	87.84
646564501	50.16
2508501109	46.92
2667527221	91.55
2518645582	124.13
2554235424	79.2
2667527398	57.13
2540341115	61.91
2502171154-cluster	48.49
2654587522	63.34
2740892000	72.36
2728369529	55.63
2728369528	80.71
2728369300	71.76
2718217669	24.9
2695421019	79.2
2695421020	48.13
2728369726	34.44
2574179750	113.64
2721755900	49.93
2700988735-cluster	46.26
2700988733	42.78
2721755437	56.32
2264867017	62.83
2504643023	62.83
2718217641	47.14
2718217646	33.42
2263082000	50.11
2728369297	59.84
651324018	66.9
2502545036	67.62
2706794823	18.29
2630968793	33.54
2639762712	21.34
2651870209	19.23
2626541593	94.22
2657245301-cluster	34.3
2627854092	70.8
2518645532	60.16
2627853696	64.93
2630968656-cluster	73.99
2690315682	43.43
2630968650	58.87
2619619229	59.91
2603880166-cluster	148.25
2657244923	177.03
2510065023	138.07
2585427612	118.11
2698536741	212.19
2504756013	65.65
2524023239	63.37
2510065009	54.08
2721755430	51.7
2721755432	50.97
2718217655-cluster	44.34
2513020047	43.46
2721755427	47.04
646564573	56.27
2513237177	39.22
648028035	75.56
2505679052	204.75
2728369542	58.97
2505679005	73.43
2524614637	51.45
2574180086	113.29
650716001	92.64
2690315630	98.89
2740892001	128.52
2588254065	70.53
650716051	73.24
2681813025	108.21
2609460254-cluster	96.15
2645727535-cluster	96.16
2508501049	137.01
2721755443	93.44
646311959	132.52
2540341177	114.01
2548876770-cluster	128.09
2548876771	125.15
2548876772	128.1
2728369532-cluster	122.15
2636415484-cluster	131.12
2728369534	128.58
2524023197-cluster	95.17
2657245679	97.85
2556793003	87.7
2681813032	95.46
2681813019	117.23
2554235458	67.36
2627853727	67.61
648028062	108.07
650377985	103.17
2681813042	112.47
2681813017	99.84
2728369738	43.32
2512047039	113.22
2512047027	83.25
2511231093	73.31
650716098	79.48
2558860986	193.72
2684622995	323.14
2571042012	486.8
2747843220	244.35
2522125061	345.36
2524614882	353.65
2556793019	279.51
2506210001	447.96
2503982037	360.22
2687453730	297.45
2681813547	298.62
2519899651	361.08
2648501865	301.84
2556921018	389.04
2510461070	294.32
2690315654	269.79
2690315679	266.99
2585428133	275.99
2562617048	328.26
2522125054	389.88
2264867176-cluster	73.98
2527291520	110.13
2593339135	113.79
2690315793	188.1
2706794760	114.26
2616644823	87.46
2684623256-cluster	261.16
2619618849	211.85
2545824503	200.81
2645727641	200.31
2523231062	167.83
2509601028	222.49
2721755304	294.89
2721755320	188.78
2579778550	126.79
2708742701	119.32
2739367718	120.73
2687453111	441.32
644736322	93.98
2585428127	215.48
2571042004-cluster	144.28
2582580746	115.6
2582580565	69.66
2545824624	268.36
2565956804	232.41
2684623253	166.65
2606217176-cluster	169.59
2565956803	227.42
2602041555	227.42
2648501571	49.24
2582580544	106.52
2654587632	113.8
2529293003	85.03
2675903157	96.74
2713896796	107.06
2523533597	183.72
2651870314	133.31
2751185837	107.11
2513237375	96.51
2541048001	89.19
2565956542	215.98
2513237386	174.1
2541047505-cluster	173.54
2537561942	176.1
2548876973	171.67
2531839542	156.38
2512047052	157.62
2562617184	157.17
649989901	140.59
2502171150	151.72
2684623058	151.72
649989902	149.09
2687453525	152.29
2608642100	168.46
651324005	157.74
651324006	135.96
2687453141	203.51
2548877015	143.25
2600255104	130.22
2524614731	92.2
2585427650	94.05
2541046976	87.94
2524614758	78.46
646564505	82.75
2634166335	83.54
2718217975	97.22
2593339153	118.39
2627854285	232.04
2585428028	269.15
2600255108	80.76
2541046977	77.49
2623620518	130.93
648028043	93.22
648276689	92.59
649989973	90.94
649989974	89.37
647000277	113.18
2667527440	208.1
2534682138	95.98
2531839280	114.81
649989903	131.52
2541047506	130.19
2751185834	92.89
2751185835	76.64
2634166153-cluster	85.38
647000206	111.26
2537562196	101.12
2690315914	105.59
2627853889	140.99
2630968294-cluster	111.73
649989904	106.38
2548876842	74.79
2541047011	111.61
2537561773	109.14
2541048003	113.82
2600255107	89.6
2558860919	106.83
2534682016	80.49
2523533527	105.74
645951824	117.52
2744054831	117.91
2541047092	106.98
2724679041-cluster	85.54
2568526326	97.79
2576861448	105.74
2524614732	85.15
2617271076	101.95
2524023166	101.3
2534682015	92.58
2643221679	203.71
643692008	257.86
2634166281	268.38
2524614511	225.6
2627853598	166.46
2519103191	76.13
2523533599	73.68
2645727657	72.56
2597490242	103.54
2597490324	96.92
2630968778	100.85
2636415758	104.26
2671180988	102.39
2562617143	84.12
2600254972-cluster	83.9
2645727667	87.87
651053004	79.94
2511231214	80
2513237236	79.26
2518645551-cluster	79.65
2531839190-cluster	79.24
2554235433	79.65
2597490250	78.11
2636415739	95.14
2636415769	92.39
2636415789-cluster	77.78
2639762723	83.01
2721755707	70.63
2526164523	96.06
2513237174	92.83
2519899775	94.57
2630968953	89.37
2651869778	98.81
2597490240	165.38
643886040	95.8
