assembly	d.gRodon
2740891980	433.37
2740891986	426.25
2740891981	503.67
2528311132-cluster	420.94
646311906	402.22
2504136002	402.3
2634166507	405.85
2728369302	443.11
2728369305	434.11
2681812914	364.74
2728369538	387.68
2528311097	393.28
2684622629	366.44
2630968753	369.95
2511231068-cluster	392.54
2558309064	403.27
2684622664	422.98
2690315681	459.59
2508501017	384.6
2651869823	370.39
2693429892	371.11
644736372	349.01
2667527389	405.4
2562617191	385.2
644736373	380.57
2654588107	366.81
2651870125	410.44
2740891998	402.45
2639763150	401.87
2648501819	399.51
2675903501	405.81
2617270915	384.49
2506783047	407.98
2684622665	383.55
2718217700-cluster	378.14
2502171174	375.11
2630968663	388.87
2518645512	387.44
2512047006	384.58
2506783034	364.43
2617270777	366.24
2617271223	331.46
2724679816	380.4
2508501014	347.13
2728369535	382.39
2639762639	342.05
2681813044	327.64
2508501019	342.3
2521172713	342.68
2576861458	334.6
2508501020	345.57
2609460336	357.48
2690315685	303.42
2690315684	345.27
2508501015	356.63
649633053	307.5
2617270895	346.03
2537561866	320.45
2663762745	390.13
2617271222	417.92
2695420318	379.99
2506783052	352.89
2512875008	375.77
2512875007	384.68
2617270917	319.5
2671180169	374.84
2651870118	374.32
2600255154	387.35
2619618938	389.52
2617270898	357.08
2512875005	407.32
2512875006	430.52
2684622567	405.14
2617270873	384.87
2724679794	356.34
2724679704	349.06
2617271215	370.85
2636416117	400.99
2671180119	376.89
2617270732	411.99
2684622631	389.64
2721755922	401.66
2645727699	372.35
2724679803	348.11
2617270761	397.53
2651870127	405.51
2693429869	380.17
2506520034	380.63
2602041564	383.94
2602041563	374.31
2639762563	405.8
2510065051	408.83
2576861807	387.28
646311934	409.2
2506783009	404.85
2718217640	401.78
2585427993	375.92
2627854207	388.03
2517093029	381.16
2509601048	371.35
2667527214	381.51
2671180170	396.43
2582580504	371.44
2510461022	394.72
2693429900	401.86
2636416047	369.58
2554235477	375.13
2506520044	381.91
2651869720	393.13
2740891999	348.58
2617270925	340.54
2517287024	379.76
2728369221	405.41
2597489945	360.89
2505679075	357.05
2505679073	360.35
2540341105	474.88
2681813425-cluster	491.8
2576861808	441.62
2728369543	458.14
2634166298-cluster	435.42
2684622607	372.73
2506783068	416.51
2681813007	388.71
648028040	345.15
2506381025	313.53
2508501105	333.17
2505313014	462.46
2617271069	459.39
2630968972	395.23
2639762999	360.99
2642422537	392.57
2703719067-cluster	405.69
2642422606	417.95
