sequence	genome.size	metadata_NSTI
2228664026	2.449625353	0.03951
2236661015	1.407696645	0.006316
2264265199	1.683501303	0.533422
2264813001-cluster	2.143175733	1.262822
2264867162	2.878654821	0.50368
2265123003	2.434302872	0.119913
2500069000	2.051240847	0.082026
2501846311	2.388335429	2e-06
2504557005	4.870577351	0.386191
2504756036	2.143175733	0.005231
2504756040	2.327045505	2e-06
2504756061	4.579450212	0.05884
2504756089	4.747997503	0.007072
2505119009	1.606888898	3e-06
2505119014	5.452831629	2e-06
2505313046-cluster	5.989118464	0.00326
2505679056	5.3149293	0.056116
2505679067	5.253639376	2e-06
2505679082	5.529444034	0.011446
2506381002-cluster	5.62137892	0.006215
2506381009	2.204465657	0.001566
2506520011	4.257678111	0.254974
2506520045	2.281078062	0.00354
2506783051-cluster	3.277039327	0.284605
2507262013	2.633495125	0.03152
2507262043	2.71010753	0.236627
2508501002	3.154459479	0.426584
2508501018	3.889938567	0.043827
2509276007	4.165743225	0.343069
2509276020	4.993157199	0.142119
2509276066	3.123814517	0.003264
2509601000	5.146382009	0.094467
2509601043-cluster	2.740752492	3e-06
2509887000	2.832687378	4e-06
2510065045	7.705236336	2e-06
2510065092	6.402825451	0.003925
2510436004	4.334290516	0.00316
2510461003	4.579450212	0.144323
2510461017	5.590733958	0.047197
2510461056	3.445586618	0.58027
2510461075	1.898016037	0.627057
2511231008	6.985079729	0.004871
2511231062	1.269794316	3e-06
2511231063-cluster	2.510915277	3e-06
2511231077	3.414941656	0.660863
2511231084	2.480270315	2e-06
2511231106	3.384296694	0.776215
2511231113-cluster	8.149588285	2e-06
2511231119	3.889938567	4e-06
2511231123	2.189143176	2e-06
2511231146-cluster	3.614133909	3e-06
2511231169	1.867371075	2e-06
2511231178	4.793964946	0.013356
2511231204	1.514954012	3e-06
2512047033	3.598811428	0.033293
2512047048	2.342367986	0.023707
2512564004	2.878654821	0.140629
2512564028	3.981873453	6e-06
2512564055	2.955267226	0.154303
2512875009	3.752036238	0.328266
2512875014	4.318968035	0.006121
2513020024-cluster	5.866538616	3e-06
2513237084	7.643946412	0.007713
2513237122	7.015724691	0.103294
2513237285	1.300439278	0.007012
2513237295	3.721391276	0.026137
2513237304	2.2504331	0.001529
2513237316	2.281078062	0.073145
2513237327	3.828648643	0.032797
2513237355	3.997195934	0.029727
2513237373	1.867371075	0.00606
2513237394-cluster	2.449625353	0.003183
2514752023	2.664140087	2e-06
2515154063-cluster	6.004440945	0.023453
2515154086	2.802042416	0.053083
2515154087	5.192349452	0.246153
2515154144	3.62945639	0.277481
2515154146	5.023802161	0.48001
2515154170	5.069769604	0.001874
2515154172	2.2504331	0.075313
2516143027	5.100414566	3e-06
